timestamp,log_type,message,stacktrace
568.4306,Log,forwardKey was pressed.,
571.18,Log,Object Picked Up!,
571.18,Log,End of trial 19,
571.18,Log,Start of ITI period of trial19,
572.2464,Log,End of ITI period of trial19,
572.2464,Log,Cue start of trial 20,
574.2958,Log,Cue end of trial 20,
574.2958,Log,Start of delay period of trial 20,
578.3448,Log,End of delay period of trial 20,
578.8114,Log,rightTurn was pressed.,
580.0778,Log,rightTurn was pressed.,
580.5776,Log,rightTurn was pressed.,
581.6107,Log,rightTurn was pressed.,
582.0273,Log,forwardKey was pressed.,
586.6761,Log,forwardKey was pressed.,
587.026,Log,leftTurn was pressed.,
588.7589,Log,leftTurn was pressed.,
589.059,Log,forwardKey was pressed.,
594.5575,Log,forwardKey was pressed.,
595.1241,Log,Confirm button pressed: trial20,
596.3904,Log,rightTurn was pressed.,
597.6901,Log,rightTurn was pressed.,
598.1567,Log,forwardKey was pressed.,
600.1062,Log,forwardKey was pressed.,
600.3727,Log,rightTurn was pressed.,
600.7061,Log,rightTurn was pressed.,
601.0726,Log,forwardKey was pressed.,
603.9,Log,Object Picked Up!,
603.9,Log,End of trial 20,
603.9,Log,Start of ITI period of trial20,
604.955,Log,End of ITI period of trial20,
604.955,Log,Cue start of trial 21,
606.9711,Log,Cue end of trial 21,
606.9711,Log,Start of delay period of trial 21,
611.0035,Log,End of delay period of trial 21,
612.1365,Log,forwardKey was pressed.,
613.103,Log,forwardKey was pressed.,
613.3529,Log,rightTurn was pressed.,
614.7192,Log,rightTurn was pressed.,
616.3522,Log,forwardKey was pressed.,
617.8685,Log,forwardKey was pressed.,
618.3351,Log,Confirm button pressed: trial21,
618.9682,Log,leftTurn was pressed.,
621.8842,Log,leftTurn was pressed.,
622.9339,Log,leftTurn was pressed.,
623.2338,Log,leftTurn was pressed.,
623.7336,Log,forwardKey was pressed.,
626.5997,Log,forwardKey was pressed.,
626.8663,Log,rightTurn was pressed.,
627.1662,Log,rightTurn was pressed.,
627.7327,Log,forwardKey was pressed.,
631.1819,Log,forwardKey was pressed.,
631.8817,Log,leftTurn was pressed.,
632.2983,Log,leftTurn was pressed.,
632.6482,Log,forwardKey was pressed.,
633.7979,Log,forwardKey was pressed.,
634.0645,Log,rightTurn was pressed.,
634.381,Log,rightTurn was pressed.,
634.6977,Log,forwardKey was pressed.,
635.66,Log,Object Picked Up!,
635.66,Log,End of trial 21,
635.66,Log,Start of ITI period of trial21,
636.7138,Log,End of ITI period of trial21,
636.7138,Log,Cue start of trial 22,
638.7466,Log,Cue end of trial 22,
638.7466,Log,Start of delay period of trial 22,
